person_income,person_home_ownership,loan_percent_income,loan_int_rate,cb_person_default_on_file,loan_status
66000,0,0.38,13.06,1,1
55000,1,0.04,6.17,0,0
55000,1,0.03,11.86,0,0
55000,0,0.09,16.32,0,0
55000,1,0.06,10.38,0,0
55000,1,0.12,14.35,0,0
55000,1,0.1,10.99,0,0
60000,0,0.42,10.99,1,1
14400,2,0.21,10.99,0,1
66996,0,0.37,15.21,1,1
67000,0,0.37,7.9,0,1
67000,0,0.37,10.99,0,1
68000,0,0.37,14.09,1,1
69000,0,0.36,17.49,0,1
55000,1,0.06,11.48,0,0
55000,1,0.11,17.74,0,1
55000,1,0.01,13.92,0,0
69996,0,0.36,15.21,0,1
14400,2,0.28,10.99,0,1
70000,0,0.36,11.86,0,1
14400,2,0.42,7.49,0,1
56100,0,0.38,16.49,0,1
66000,0,0.38,15.33,1,1
66000,0,0.38,11.58,0,1
14400,2,0.37,5.79,0,1
72612,0,0.34,13.11,0,1
74000,0,0.34,10.36,0,1
75000,0,0.33,10.36,0,1
55000,0,0.11,10.99,1,0
55000,1,0.1,6.54,0,0
55000,1,0.05,12.53,0,0
55000,1,0.08,10.99,0,0
55000,1,0.05,10.99,0,0
75000,0,0.33,10.25,0,1
71000,0,0.35,15.95,1,1
55000,1,0.11,12.18,0,0
55000,2,0.13,11.83,0,0
78000,0,0.32,10.99,1,1
78000,0,0.32,10.62,0,1
78504,0,0.32,10.74,0,1
55000,2,0.05,10.25,0,0
55000,1,0.19,12.42,0,0
55000,0,0.08,15.27,0,0
62050,0,0.34,15.33,1,1
79416,0,0.31,15.21,1,1
14400,2,0.43,14.72,0,1
79631,0,0.31,15.7,1,1
79632,0,0.31,13.35,0,1
14400,1,0.1,10.99,0,0
80000,0,0.31,6.62,0,1
80000,0,0.31,13.61,0,1
55000,0,0.14,11.36,0,0
55000,2,0.03,7.68,0,0
55000,0,0.12,14.46,1,0
55000,2,0.01,11.83,0,0
55000,1,0.12,13.47,1,1
55000,1,0.11,11.49,0,0
55000,1,0.01,10.99,0,0
55000,1,0.08,6.03,0,0
74004,0,0.34,16.35,0,1
74004,0,0.34,10.99,1,1
81000,0,0.31,7.29,0,1
81600,0,0.31,11.36,0,1
82000,0,0.3,10.25,0,0
83000,0,0.3,11.12,0,0
83000,0,0.3,12.92,1,0
55000,0,0.1,18.64,1,0
55000,1,0.16,7.51,0,0
14400,2,0.28,16.7,0,1
14400,2,0.15,11.14,0,0
84500,0,0.3,18.3,0,0
85000,0,0.29,10.62,0,0
55000,1,0.08,11.99,0,0
55000,1,0.07,9.63,0,0
55000,1,0.06,18.25,0,1
14664,1,0.41,10.99,0,1
87000,0,0.29,14.84,0,0
75000,0,0.33,14.7,1,1
76000,0,0.33,16.02,0,1
66215,0,0.32,15.37,1,1
90000,0,0.28,10.99,0,0
15000,2,0.41,7.9,0,1
55000,2,0.14,10.99,0,0
55000,2,0.12,11.48,0,0
55000,2,0.11,14.26,1,0
55000,2,0.06,8.0,0,0
55000,1,0.06,11.26,0,0
15000,2,0.3,10.99,0,1
78000,0,0.32,16.32,1,1
66300,0,0.32,17.93,1,1
90000,0,0.28,11.36,0,0
79000,0,0.32,14.96,1,1
91800,0,0.27,13.43,1,0
92000,0,0.27,12.69,0,0
92000,0,0.27,12.73,1,0
93600,0,0.27,15.21,0,0
15000,1,0.12,12.68,1,0
70550,0,0.3,19.04,1,1
83800,0,0.3,15.95,1,1
55000,1,0.01,8.9,0,0
55000,1,0.05,7.9,0,0
55000,1,0.1,10.99,0,0
55000,1,0.12,11.99,0,0
15000,2,0.27,13.98,0,1
15000,2,0.31,10.99,0,1
88000,0,0.28,15.58,1,1
74800,0,0.28,10.99,0,1
88000,0,0.28,14.96,0,1
15000,2,0.12,15.31,1,0
88000,0,0.28,15.65,0,1
100000,0,0.25,9.33,0,0
15000,1,0.24,13.47,0,1
102400,0,0.24,10.36,0,0
92000,0,0.27,16.77,1,1
93000,0,0.27,14.59,1,1
55000,0,0.02,11.91,1,0
55000,1,0.04,8.38,0,0
55000,0,0.05,10.59,0,0
55000,1,0.05,14.27,0,0
55000,0,0.07,12.53,0,0
55000,1,0.15,16.0,1,1
55000,1,0.06,11.71,0,0
15000,2,0.21,11.54,1,1
96000,0,0.26,15.68,1,1
15120,1,0.1,10.59,0,0
97908,0,0.26,12.61,1,1
110000,0,0.23,10.99,1,0
15204,1,0.18,8.49,0,1
55000,0,0.19,17.27,1,1
55000,0,0.1,8.9,0,0
55000,1,0.06,11.11,0,0
55000,0,0.16,14.59,1,1
55000,0,0.08,12.42,0,0
83300,0,0.26,10.99,0,1
110000,0,0.23,15.7,1,0
15360,2,0.16,12.53,0,1
55000,0,0.03,16.49,0,1
55000,1,0.12,7.49,0,0
100580,0,0.25,14.96,1,1
55000,0,0.22,12.73,1,0
55000,0,0.21,10.65,0,0
55000,0,0.21,10.74,0,0
55000,0,0.21,9.99,0,0
91800,0,0.23,15.33,1,1
15600,2,0.06,7.29,0,0
108000,0,0.23,15.05,0,1
55000,0,0.19,10.75,0,0
55000,0,0.19,16.02,1,0
55000,0,0.19,11.49,0,0
55000,2,0.12,12.53,0,0
55000,1,0.07,13.57,1,0
55000,0,0.08,11.14,0,0
55000,0,0.14,12.87,1,0
55000,0,0.12,11.58,0,0
55000,0,0.01,11.12,0,0
55000,1,0.21,10.65,0,0
55000,0,0.19,10.37,0,0
15600,2,0.21,6.39,0,1
55000,0,0.19,16.07,1,0
55000,0,0.19,10.62,0,0
15600,2,0.21,18.09,0,1
55000,0,0.19,11.36,0,0
55000,0,0.18,12.53,0,0
55000,0,0.17,9.99,0,0
55000,0,0.17,10.36,0,0
55000,1,0.06,5.99,0,0
55000,1,0.16,15.62,1,1
55000,1,0.12,10.37,0,0
55000,1,0.15,19.74,0,0
55000,1,0.12,6.91,0,0
16000,2,0.38,7.9,0,1
16000,1,0.14,13.06,1,0
16000,2,0.13,6.39,0,0
55000,0,0.17,14.93,0,1
16000,1,0.35,12.84,0,1
16020,2,0.23,17.14,1,1
16094,1,0.34,7.14,0,1
55000,0,0.14,8.9,0,0
16200,2,0.12,12.42,0,0
55000,0,0.14,12.68,1,0
55000,0,0.15,11.03,0,0
55000,0,0.19,7.9,0,0
55000,1,0.22,10.65,0,0
55000,0,0.11,11.86,0,0
16400,2,0.3,8.94,0,1
16500,2,0.27,9.63,0,1
49500,0,0.5,14.22,0,1
60000,0,0.41,9.33,0,1
84200,0,0.29,13.85,0,0
16800,1,0.12,10.65,0,0
92000,0,0.27,11.46,0,0
55000,1,0.22,7.66,0,0
55000,1,0.07,16.77,0,0
55000,1,0.07,9.63,0,0
55000,0,0.16,12.23,1,0
55000,1,0.07,14.09,0,1
54000,0,0.45,13.98,0,1
62500,0,0.39,10.62,0,1
16800,1,0.23,10.99,0,1
68400,0,0.35,17.56,0,1
56045,0,0.37,14.96,0,1
74000,0,0.33,15.65,1,1
65453,0,0.31,15.7,0,1
89908,0,0.27,12.53,0,0
78000,0,0.31,17.56,1,1
100000,0,0.24,12.87,1,0
103000,0,0.24,15.7,0,0
55000,1,0.06,10.99,0,0
55000,2,0.09,11.14,0,0
55000,1,0.13,16.0,0,0
55000,1,0.16,15.65,1,0
55000,1,0.09,10.99,0,0
55000,1,0.1,15.31,1,0
55000,1,0.13,13.47,1,0
16800,1,0.28,13.85,1,1
55000,0,0.22,10.99,0,0
16800,1,0.36,10.39,0,1
55000,0,0.21,11.36,0,0
55000,0,0.17,11.83,0,0
55000,0,0.08,12.53,0,0
108000,0,0.22,14.96,1,1
43000,0,0.15,13.85,1,1
47004,0,0.15,11.58,0,1
48000,0,0.5,16.29,1,1
48000,0,0.5,10.99,0,1
44964,0,0.15,16.29,1,1
52000,0,0.46,10.74,0,1
17352,1,0.13,15.27,1,0
47000,0,0.15,17.8,0,1
17400,1,0.06,11.36,0,0
49000,0,0.49,17.56,0,1
60000,0,0.4,7.9,0,1
60000,0,0.4,10.99,0,1
60000,0,0.4,7.29,0,1
60000,0,0.4,10.75,0,1
62004,0,0.39,7.9,0,1
62400,0,0.38,14.84,0,1
65000,0,0.37,10.99,0,1
17760,1,0.28,10.99,1,1
59000,0,0.41,19.69,1,1
66000,0,0.36,10.99,0,1
60000,0,0.4,14.96,0,1
66143,0,0.36,6.99,0,1
62250,0,0.39,16.45,1,1
70000,0,0.34,10.99,0,1
74000,0,0.32,10.99,0,1
18000,2,0.17,7.9,0,1
75000,0,0.32,12.69,0,1
75000,0,0.32,10.37,0,1
75000,0,0.32,10.99,0,1
69000,0,0.35,15.83,0,1
78000,0,0.31,13.92,0,1
18000,2,0.11,11.49,0,0
80000,0,0.3,10.25,0,0
18000,2,0.19,7.49,0,1
18000,2,0.22,5.99,0,1
74700,0,0.32,12.92,0,1
88596,0,0.27,11.58,0,0
95000,0,0.25,8.9,0,0
83000,0,0.29,19.69,0,1
95000,0,0.25,6.54,0,0
18000,2,0.27,14.54,1,1
18000,2,0.28,11.11,0,1
100000,0,0.24,12.73,0,0
110000,0,0.22,15.62,0,0
18000,2,0.35,6.54,0,1
98000,0,0.24,10.99,1,1
103872,0,0.23,20.03,0,1
55000,0,0.2,9.91,0,0
55000,0,0.2,12.69,0,0
108000,0,0.22,20.16,0,1
55000,0,0.19,16.49,1,0
18000,1,0.14,15.95,0,1
55000,0,0.18,11.49,0,0
55000,0,0.18,10.99,0,0
55000,0,0.18,13.79,0,0
55000,0,0.18,20.03,1,1
55000,0,0.16,7.49,0,0
55000,0,0.17,16.0,1,1
18000,2,0.15,7.88,0,1
18000,2,0.35,10.62,0,1
55000,0,0.15,10.99,0,0
55000,0,0.16,18.3,0,1
55000,0,0.14,10.99,1,0
18000,2,0.14,11.36,0,0
43896,0,0.15,10.99,0,1
55000,0,0.2,13.47,0,0
54996,0,0.43,11.89,0,1
18000,1,0.15,12.18,0,1
102000,0,0.23,13.49,0,0
75000,0,0.31,14.5,0,1
18000,2,0.22,10.99,0,1
18000,2,0.3,15.31,1,1
18000,1,0.22,10.99,0,1
18000,2,0.19,10.99,0,1
66960,0,0.35,7.49,0,1
43385,0,0.15,10.99,0,1
56544,0,0.41,10.99,0,1
60000,0,0.38,12.18,0,1
18000,1,0.07,11.34,1,0
63208,0,0.36,9.91,0,1
65000,0,0.35,11.99,0,1
68000,0,0.34,9.62,0,1
18000,2,0.17,9.96,0,1
80000,0,0.29,10.99,0,0
88000,0,0.26,14.54,0,1
58600,0,0.39,11.36,0,1
70000,0,0.32,14.27,0,1
18287,2,0.16,11.99,0,1
69846,0,0.32,18.99,1,1
73000,0,0.31,16.7,1,1
18500,1,0.27,9.32,0,1
35000,0,0.15,12.69,0,1
43000,0,0.15,13.11,0,1
52000,0,0.42,10.74,0,1
18701,1,0.22,14.11,1,1
57000,0,0.39,9.63,0,1
58000,0,0.38,14.65,0,1
60000,0,0.37,10.25,0,1
60000,0,0.37,14.26,1,1
18840,1,0.16,9.91,0,1
56000,0,0.39,17.19,0,1
70000,0,0.31,11.36,0,1
66000,0,0.33,10.99,0,1
74064,0,0.3,10.59,0,0
76597,0,0.29,9.25,0,0
19000,2,0.19,8.49,0,1
77000,0,0.29,6.54,0,0
19000,2,0.32,8.49,0,1
80000,0,0.28,10.99,0,0
82600,0,0.27,12.69,0,0
19000,2,0.39,13.85,0,1
19000,2,0.21,7.4,0,1
84000,0,0.26,11.71,0,0
77650,0,0.28,11.48,0,1
82000,0,0.27,17.51,0,1
19012,1,0.18,14.61,0,1
99996,0,0.22,7.88,0,0
110000,0,0.2,10.99,0,0
19200,1,0.26,11.71,0,1
57000,0,0.38,11.99,0,1
54000,0,0.4,13.49,0,1
56000,0,0.39,21.21,1,1
63000,0,0.34,14.35,1,1
82000,0,0.26,13.61,1,0
78000,0,0.28,11.26,0,1
19200,2,0.13,10.59,0,0
55000,0,0.19,7.9,0,0
19200,1,0.36,5.99,0,1
19200,2,0.16,11.99,0,1
59000,0,0.36,16.89,0,1
70000,0,0.31,9.99,0,1
55000,0,0.19,15.33,1,0
60000,0,0.36,7.29,0,1
31000,0,0.15,12.42,0,1
47052,0,0.45,10.99,0,1
51060,0,0.42,6.91,0,1
19200,1,0.26,14.17,1,1
53000,0,0.4,10.25,0,1
19200,2,0.48,10.99,0,1
56000,0,0.38,15.95,1,1
65000,0,0.33,15.95,1,1
35000,0,0.15,12.53,0,1
19200,1,0.07,14.91,1,1
19200,1,0.16,10.99,0,1
40000,0,0.15,6.54,0,1
19200,2,0.05,10.99,0,0
42000,0,0.5,17.26,1,1
63000,0,0.33,11.36,0,1
19200,1,0.21,7.51,0,1
59000,0,0.36,10.71,0,1
70500,0,0.3,13.98,1,0
65219,0,0.32,14.09,0,1
75000,0,0.28,10.0,0,0
19200,1,0.26,15.33,0,1
62047,0,0.29,16.32,1,1
79000,0,0.27,7.9,0,0
80000,0,0.26,11.99,0,0
84000,0,0.25,10.75,0,0
85000,0,0.25,13.92,0,0
93000,0,0.23,9.91,0,0
81000,0,0.26,16.95,1,1
97000,0,0.22,7.9,0,0
97000,0,0.22,10.99,1,0
100000,0,0.21,16.49,1,1
19200,3,0.39,11.97,1,1
19253,1,0.32,6.17,0,1
55000,0,0.17,8.9,0,0
55000,0,0.17,12.99,1,0
82000,0,0.25,12.69,0,0
19500,1,0.15,9.64,0,1
50000,0,0.41,7.49,0,1
70000,0,0.29,13.16,1,0
19800,2,0.11,8.38,0,0
80004,0,0.25,10.25,0,0
54000,0,0.38,7.49,0,1
26000,0,0.15,9.76,0,1
33000,0,0.15,10.99,0,1
20000,2,0.25,11.71,0,0
20000,2,0.46,10.65,0,0
35364,0,0.15,12.53,0,1
38000,0,0.15,14.59,0,1
32000,0,0.15,12.61,0,1
38004,0,0.15,13.11,0,1
20000,1,0.32,10.65,0,0
38556,0,0.15,11.22,1,1
32900,0,0.15,16.0,0,1
34000,0,0.15,8.88,0,1
40000,0,0.5,12.53,0,1
36000,0,0.15,10.99,1,1
20000,1,0.24,5.99,0,0
42000,0,0.48,13.47,0,1
42224,0,0.47,6.99,0,1
20000,2,0.28,15.99,1,0
20000,1,0.18,10.99,1,0
37212,0,0.15,16.69,0,1
38000,0,0.15,11.11,0,1
45000,0,0.44,7.9,0,1
45000,0,0.44,10.25,0,1
45000,0,0.44,10.99,0,1
20000,2,0.06,7.49,0,0
45000,0,0.44,13.92,1,1
39000,0,0.15,14.74,0,1
46500,0,0.43,10.62,0,1
48000,0,0.42,10.65,0,1
42000,0,0.48,12.99,0,1
48500,0,0.41,11.36,0,1
20000,2,0.38,5.79,0,0
49400,0,0.4,6.54,0,1
20000,1,0.2,5.79,0,0
50000,0,0.4,7.49,0,1
50000,0,0.4,13.43,0,1
50000,0,0.4,13.22,0,1
20000,2,0.25,14.72,0,0
44000,0,0.45,15.68,0,1
50866,0,0.39,10.99,0,1
50950,0,0.39,11.48,0,1
51000,0,0.39,10.38,0,1
51000,0,0.39,12.53,0,1
51000,0,0.39,13.47,0,1
51500,0,0.39,12.21,0,1
51996,0,0.38,10.99,0,1
52000,0,0.38,11.36,0,1
46000,0,0.43,16.0,1,1
20000,1,0.07,7.74,0,0
52000,0,0.38,15.65,1,1
46000,0,0.43,11.78,1,1
52559,0,0.38,10.99,0,1
47000,0,0.43,16.77,0,1
54000,0,0.37,9.91,0,1
48000,0,0.42,15.65,0,1
48000,0,0.42,14.96,0,1
54000,0,0.37,11.83,0,1
48912,0,0.41,11.66,0,1
54996,0,0.36,12.18,0,1
55000,0,0.36,6.91,0,1
55000,0,0.36,6.91,0,1
49000,0,0.41,19.79,0,1
55000,0,0.36,9.88,0,1
20000,1,0.15,9.76,0,0
55000,0,0.36,12.53,0,1
55200,0,0.36,10.99,0,1
20004,1,0.36,6.99,0,0
57000,0,0.35,16.89,0,1
51012,0,0.39,17.49,1,1
20004,1,0.12,16.82,1,0
20004,1,0.18,10.99,0,0
58000,0,0.34,13.11,0,1
58800,0,0.34,7.66,0,1
59000,0,0.34,6.17,0,1
53000,0,0.38,16.35,1,1
60000,0,0.33,7.9,0,1
54000,0,0.37,16.49,0,1
20245,2,0.18,10.99,0,0
20280,1,0.35,8.0,0,0
60000,0,0.33,10.99,0,1
20352,2,0.38,6.91,0,0
54000,0,0.37,8.88,0,1
60000,0,0.33,10.99,0,1
54000,0,0.37,14.84,1,1
54000,0,0.37,11.12,0,1
60000,0,0.33,7.88,0,1
60000,0,0.33,10.99,0,1
20400,1,0.29,15.99,1,0
20400,1,0.27,10.99,0,0
60000,0,0.33,10.99,0,1
54000,0,0.37,15.65,1,1
54000,0,0.37,17.04,1,1
60000,0,0.33,12.21,0,1
20400,2,0.06,15.23,1,0
54000,0,0.37,14.11,0,1
60000,0,0.33,11.14,0,1
20400,2,0.12,11.49,0,0
60000,0,0.33,13.87,0,1
60000,0,0.33,10.08,0,1
54504,0,0.37,16.7,1,1
55000,0,0.36,18.64,0,1
61000,0,0.33,12.18,0,1
20400,2,0.19,10.99,1,0
62000,0,0.32,6.54,0,1
56000,0,0.36,14.61,1,1
56000,0,0.36,17.39,1,1
62400,0,0.32,11.12,0,1
62400,0,0.32,11.48,0,1
63000,0,0.32,12.42,0,1
58000,0,0.34,10.25,0,1
65000,0,0.31,10.65,0,1
20800,2,0.24,16.29,1,0
65000,0,0.31,10.37,0,1
65000,0,0.31,11.49,0,1
20856,2,0.48,10.59,0,0
20868,2,0.26,13.49,1,0
59000,0,0.34,10.99,0,1
59000,0,0.34,12.29,0,1
21000,1,0.17,17.27,1,1
65004,0,0.31,11.99,0,1
59004,0,0.34,14.84,1,1
59004,0,0.34,10.83,0,1
65500,0,0.31,13.22,0,1
66996,0,0.3,12.18,0,0
67000,0,0.3,11.11,0,0
67000,0,0.3,13.48,1,0
68000,0,0.29,10.75,0,0
68000,0,0.29,12.53,1,0
62400,0,0.32,14.84,0,1
69500,0,0.29,17.74,1,0
70000,0,0.29,9.99,0,0
70000,0,0.29,6.91,0,0
64000,0,0.31,10.99,0,1
71004,0,0.28,14.09,0,0
21000,1,0.14,11.49,0,0
71004,0,0.28,14.09,0,0
55392,0,0.31,15.2,1,1
72000,0,0.28,11.83,0,0
21000,3,0.29,12.21,0,0
66000,0,0.3,14.11,0,1
66000,0,0.3,14.42,0,1
72000,0,0.28,14.74,1,0
74000,0,0.27,12.69,0,0
21120,1,0.08,16.89,1,1
75000,0,0.27,10.99,0,0
21216,1,0.21,10.99,1,1
21221,1,0.4,9.63,0,0
75000,0,0.27,8.88,0,0
75000,0,0.27,6.91,0,0
75000,0,0.27,10.99,0,0
75000,0,0.27,10.38,0,0
69000,0,0.29,10.99,0,1
75000,0,0.27,10.99,0,0
21600,1,0.35,10.99,0,0
21600,2,0.24,12.42,0,0
69000,0,0.29,14.82,0,1
75600,0,0.26,16.32,1,0
59497,0,0.29,16.0,0,1
76000,0,0.26,10.37,0,0
70000,0,0.29,13.16,0,1
70000,0,0.29,14.88,0,1
77004,0,0.26,13.98,0,0
71004,0,0.28,13.36,1,1
21600,2,0.33,6.99,0,0
21600,1,0.19,5.42,0,0
21600,1,0.37,5.42,0,0
78000,0,0.26,13.85,1,0
21600,1,0.19,12.99,0,0
21600,2,0.19,9.99,0,0
21600,1,0.06,10.99,0,0
78000,0,0.26,10.99,0,0
61200,0,0.28,11.14,0,1
21600,1,0.18,5.99,0,0
72000,0,0.28,10.99,1,1
78000,0,0.26,11.58,0,0
78500,0,0.25,13.85,1,0
79000,0,0.25,16.89,1,0
80000,0,0.25,7.9,0,0
21600,2,0.28,12.68,0,0
62900,0,0.27,14.91,0,1
80000,0,0.25,13.06,0,0
80000,0,0.25,8.88,0,0
21600,1,0.09,6.17,0,0
80000,0,0.25,13.98,1,0
21600,2,0.39,6.54,0,0
62900,0,0.27,13.85,0,1
21600,1,0.05,10.36,0,0
74004,0,0.27,15.95,1,1
80004,0,0.25,14.26,1,0
80700,0,0.25,11.71,0,0
81000,0,0.25,13.49,0,0
21600,1,0.09,14.84,0,1
82000,0,0.24,10.99,1,0
76042,0,0.26,15.05,1,1
76654,0,0.26,13.79,1,1
83500,0,0.24,13.48,0,0
21600,2,0.14,6.76,0,0
84000,0,0.24,11.11,0,0
84000,0,0.24,13.92,0,0
21600,2,0.2,12.53,0,0
21600,1,0.46,11.14,0,0
78996,0,0.25,14.11,0,1
85000,0,0.24,7.49,0,0
85000,0,0.24,10.25,0,0
73000,0,0.27,12.53,0,1
21816,1,0.07,11.86,0,0
21840,2,0.41,7.88,0,0
85000,0,0.24,10.99,0,0
21948,1,0.18,10.99,0,0
87000,0,0.23,13.85,0,0
21996,2,0.27,13.23,0,0
90000,0,0.22,10.99,0,0
78000,0,0.26,18.25,1,1
90000,0,0.22,6.54,0,0
90000,0,0.22,11.49,0,0
90000,0,0.22,11.49,0,0
22000,1,0.32,11.71,0,0
90000,0,0.22,13.57,0,0
91229,0,0.22,14.35,0,0
22000,1,0.17,10.65,0,0
92000,0,0.22,15.65,1,0
22000,1,0.3,10.99,0,0
22000,1,0.27,6.62,0,1
92407,0,0.22,9.25,0,0
22000,1,0.11,11.71,0,0
22000,1,0.36,5.42,0,0
93492,0,0.21,9.45,0,0
22000,1,0.07,7.49,0,1
94500,0,0.21,10.99,0,0
83000,0,0.24,10.99,0,1
95000,0,0.21,10.99,0,0
95000,0,0.21,10.99,1,0
22000,2,0.33,7.66,0,0
96000,0,0.21,13.04,0,0
22000,1,0.33,7.14,0,0
85200,0,0.23,15.65,1,1
98000,0,0.2,11.83,0,0
22000,2,0.14,16.0,1,0
99000,0,0.2,15.28,0,0
22000,2,0.18,15.05,0,0
22000,2,0.39,15.05,0,0
